"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"20943","51.688633","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20990","51.789820","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"21021","51.889159","Commscope_23:24:6c","d6:ef:d9:ee:aa:fa","802.11","387","-36 dBm","6"
"21022","51.889164","Commscope_23:24:6c","d6:ef:d9:ee:aa:fa","802.11","387","-35 dBm","6"
"21023","51.889924","Commscope_23:24:6c","d6:ef:d9:ee:aa:fa","802.11","387","-35 dBm","6"
"21024","51.889927","Commscope_23:24:6c","d6:ef:d9:ee:aa:fa","802.11","387","-36 dBm","6"
"21026","51.893411","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"21057","51.999176","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"21093","52.100051","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"21124","52.200512","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21160","52.301544","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"21205","52.406255","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"21217","52.437740","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-36 dBm","6"
"21218","52.437743","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-35 dBm","6"
"21219","52.437746","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-36 dBm","6"
"21220","52.438022","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-35 dBm","6"
"21241","52.511171","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21275","52.610217","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"21302","52.715254","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21332","52.814894","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"21359","52.917733","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"21385","53.023348","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21397","53.038668","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-32 dBm","6"
"21398","53.038673","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-32 dBm","6"
"21399","53.040047","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"21401","53.042402","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-34 dBm","6"
"21418","53.079987","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-34 dBm","6"
"21419","53.080211","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-36 dBm","6"
"21420","53.080214","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-36 dBm","6"
