"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"5263","22.261261","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3673, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5287","22.363734","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-20 dBm","Beacon frame, SN=3677, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5304","22.466091","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-20 dBm","Beacon frame, SN=3681, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5322","22.568570","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-20 dBm","Beacon frame, SN=3685, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5344","22.670898","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=3689, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5381","22.875687","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=3692, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5403","22.979802","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3697, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5430","23.080475","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=3705, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5459","23.183158","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3709, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5481","23.285301","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3713, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5509","23.389257","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=3717, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5537","23.494897","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3721, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5566","23.592488","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=3725, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5595","23.694872","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3729, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5622","23.799450","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3733, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5648","23.899684","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3737, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5674","24.002134","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3741, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5698","24.104435","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3745, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5723","24.206871","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3750, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5751","24.309309","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3754, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5781","24.411984","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3758, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
