"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"3605","9.884794","Commscope_23:24:6c","ea:c9:fc:95:13:cf","802.11","387","-27 dBm"
"3619","9.904973","Commscope_23:24:6c","ea:c9:fc:95:13:cf","802.11","387","-26 dBm"
"3635","9.976836","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3677","10.067502","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3722","10.169871","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3752","10.273328","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3783","10.375515","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"3827","10.479126","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"3862","10.581383","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"3904","10.682911","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"3908","10.688579","Commscope_23:24:6c","86:50:0e:07:f9:7c","802.11","387","-27 dBm"
"3909","10.689768","Commscope_23:24:6c","86:50:0e:07:f9:7c","802.11","387","-26 dBm"
"3910","10.689773","Commscope_23:24:6c","86:50:0e:07:f9:7c","802.11","387","-28 dBm"
"3911","10.690767","Commscope_23:24:6c","86:50:0e:07:f9:7c","802.11","387","-26 dBm"
"3935","10.785532","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"3965","10.888148","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"3980","10.956576","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","0 dBm"
"3981","10.957582","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","0 dBm"
"4005","10.988764","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"4021","11.029184","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-29 dBm"
"4022","11.029189","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-28 dBm"
"4024","11.030418","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-29 dBm"
"4025","11.030422","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-27 dBm"
"4031","11.050055","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-29 dBm"
"4032","11.055373","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-27 dBm"
"4033","11.055379","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-28 dBm"
"4034","11.055382","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-28 dBm"
"4060","11.090305","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"4098","11.198480","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"4136","11.297633","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"4184","11.398432","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"4198","11.436765","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-26 dBm"
"4199","11.436769","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"4202","11.438643","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"4203","11.438646","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-25 dBm"
"4208","11.449720","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"4209","11.449723","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-25 dBm"
"4210","11.452093","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-25 dBm"
"4211","11.452098","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"4232","11.501249","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"4261","11.604949","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4289","11.710185","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4320","11.809474","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4345","11.917963","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4371","12.015009","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4407","12.118073","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4453","12.218736","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"4488","12.320373","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4493","12.321829","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-26 dBm"
"4494","12.321832","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-24 dBm"
"4496","12.325027","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-24 dBm"
"4497","12.325030","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-24 dBm"
