"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"5677","20.744776","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"5708","20.842413","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"5734","20.946418","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"5770","21.053165","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"5800","21.152704","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"5879","21.456931","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm"
"5924","21.663435","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"5955","21.764542","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5989","21.867155","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6020","21.970546","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6053","22.074131","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6087","22.173186","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6110","22.282986","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"6145","22.380928","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"6169","22.480970","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6195","22.583266","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6231","22.691891","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6254","22.787967","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6280","22.896473","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"6312","22.994871","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"6344","23.111617","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6345","23.111621","Commscope_23:24:6c","VantivaUSA_63:fc:dd","802.11","387","-24 dBm"
"6346","23.111701","Commscope_23:24:6c","VantivaUSA_63:fc:dd","802.11","387","-25 dBm"
"6347","23.114946","Commscope_23:24:6c","VantivaUSA_63:fc:dd","802.11","387","-25 dBm"
"6348","23.121083","Commscope_23:24:6c","VantivaUSA_63:fc:dd","802.11","387","-25 dBm"
"6426","23.408788","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6453","23.505050","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"6477","23.607221","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm"
"6502","23.711074","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6531","23.814072","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6556","23.914439","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"6590","24.016245","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6619","24.118759","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6650","24.221878","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6679","24.324501","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"6706","24.429849","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6786","24.739936","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm"
"6819","24.840840","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6841","24.938466","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"6848","24.961911","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-27 dBm"
