"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"12328","29.990980","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"12359","30.093807","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"12401","30.198120","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"12443","30.298298","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"12506","30.502225","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"12537","30.609025","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"12567","30.709164","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"12607","30.810247","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"12643","30.912115","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"12688","31.014597","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"12724","31.116700","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"12758","31.220892","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"12822","31.424634","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"12868","31.527034","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"12903","31.635133","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"12905","31.658503","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-29 dBm","6"
"12907","31.658510","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-30 dBm","6"
"12908","31.658513","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-29 dBm","6"
"12909","31.658516","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-31 dBm","6"
"12934","31.733746","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"12955","31.838743","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"12983","31.937885","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"13034","32.041723","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"13067","32.140239","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"13110","32.245287","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"13147","32.347572","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"13186","32.449601","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"13233","32.551327","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"13268","32.654609","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"13309","32.757745","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"13342","32.866854","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"13364","32.964261","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"13400","33.062094","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"13435","33.168018","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"13516","33.372137","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"13557","33.471491","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"13598","33.582718","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"13629","33.676886","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"13666","33.779623","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"13710","33.886103","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"13751","33.984182","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"14117","35.113206","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"14150","35.216001","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"14199","35.316410","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"14211","35.327092","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-31 dBm","6"
"14214","35.333697","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-32 dBm","6"
"14217","35.333705","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-31 dBm","6"
"14219","35.333711","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-33 dBm","6"
"14255","35.420182","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"14283","35.520858","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"14308","35.622463","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"14376","35.831528","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"14413","35.969893","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-32 dBm","6"
"14417","35.976576","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-33 dBm","6"
"14418","35.976580","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-32 dBm","6"
"14419","35.978899","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-33 dBm","6"
"14441","36.043984","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"14495","36.239891","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"14538","36.339526","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"14574","36.443249","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm","6.5"
"14604","36.554090","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"14661","36.750175","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-31 dBm","6"
"14662","36.750179","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-31 dBm","6"
"14663","36.750453","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"14664","36.750457","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-31 dBm","6"
"14665","36.750461","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-31 dBm","6"
"14717","36.856825","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"14755","36.953333","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"14786","37.043835","Intel_4a:2b:ad","Broadcast","802.11","178","-63 dBm","6"
"14788","37.043852","Commscope_23:24:6c","Intel_4a:2b:ad","802.11","387","-34 dBm","6"
"14796","37.058820","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"14797","37.058822","Intel_4a:2b:ad","Broadcast","802.11","178","-64 dBm","5.5"
"14800","37.059132","Commscope_23:24:6c","Intel_4a:2b:ad","802.11","387","0 dBm","6"
"14805","37.079711","Commscope_23:24:6c","fa:1d:36:f1:f6:e3","802.11","387","-32 dBm","6"
"14808","37.079721","Commscope_23:24:6c","fa:1d:36:f1:f6:e3","802.11","387","-32 dBm","6"
"14817","37.101222","Commscope_23:24:6c","fa:1d:36:f1:f6:e3","802.11","387","-32 dBm","6"
"14836","37.166305","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"14881","37.261926","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"14885","37.272669","Commscope_23:24:6c","VantivaConne_b7:78:00","802.11","387","-31 dBm","6"
"14886","37.272675","Commscope_23:24:6c","VantivaConne_b7:78:00","802.11","387","-31 dBm","6"
"14925","37.363868","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"14960","37.466391","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"15021","37.673496","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15057","37.774764","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15092","37.878371","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
