"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"3686","8.902301","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3724","8.999568","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3780","9.108043","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3851","9.313352","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"3872","9.414682","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3940","9.619580","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3977","9.723831","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4019","9.822187","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4056","9.927156","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4097","10.025043","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4134","10.127724","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4172","10.228074","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4194","10.291605","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-24 dBm"
"4195","10.291608","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-22 dBm"
"4196","10.292689","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-23 dBm"
"4197","10.292988","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-23 dBm"
"4220","10.337209","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4250","10.434498","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4288","10.540825","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4325","10.638245","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4343","10.741691","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4374","10.844388","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"4401","10.945223","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4442","11.047683","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4465","11.152410","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4498","11.253009","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4499","11.255460","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4500","11.255784","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-24 dBm"
"4501","11.255791","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"4516","11.305663","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-22 dBm"
"4517","11.306266","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-24 dBm"
"4518","11.306269","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4519","11.306273","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4534","11.354926","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"4535","11.362332","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","0 dBm"
"4536","11.362338","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","0 dBm"
"4622","11.564194","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4660","11.662142","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"4690","11.764853","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4734","11.871804","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
