"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"9785","40.455836","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3681, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9806","40.558118","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=3685, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9822","40.660702","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3689, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9842","40.762992","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3693, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9871","40.865382","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-30 dBm","Beacon frame, SN=3700, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9894","40.967763","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3704, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9912","41.070511","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-30 dBm","Beacon frame, SN=3708, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9935","41.172548","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3712, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9959","41.275083","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3716, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9990","41.377357","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=3724, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10007","41.479600","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=3730, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10024","41.582111","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=3733, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10044","41.684677","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=3737, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10064","41.786978","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3741, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10085","41.889437","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=3745, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10107","41.930762","1e:9d:72:6d:c4:11","6e:28:a1:67:7d:a7","802.11","516","-27 dBm","Probe Response, SN=3749, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10113","41.955682","1e:9d:72:6d:c4:11","6e:28:a1:67:7d:a7","802.11","516","-28 dBm","Probe Response, SN=3750, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10124","41.991756","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3751, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10165","42.196513","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=3757, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10189","42.299116","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3761, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10214","42.401356","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=3765, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10232","42.503911","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=3769, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10248","42.606268","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3777, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10259","42.625870","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-29 dBm","Probe Response, SN=3781, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10260","42.626803","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-29 dBm","Probe Response, SN=3781, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10261","42.627564","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-29 dBm","Probe Response, SN=3781, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10262","42.628311","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-29 dBm","Probe Response, SN=3781, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10275","42.708577","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3782, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10303","42.810928","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3786, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10315","42.857710","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-28 dBm","Probe Response, SN=3790, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10316","42.861958","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-29 dBm","Probe Response, SN=3790, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
