"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"27936","91.574627","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2413, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27959","91.670586","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2417, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27989","91.772981","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2421, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28024","91.875369","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2425, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28050","91.977762","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2429, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28068","92.080164","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2433, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28087","92.182540","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2437, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28113","92.284964","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2442, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28140","92.392728","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2446, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28162","92.489760","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-25 dBm","Beacon frame, SN=2450, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28185","92.592389","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-25 dBm","Beacon frame, SN=2454, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28214","92.694580","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-25 dBm","Beacon frame, SN=2458, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28246","92.796954","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-25 dBm","Beacon frame, SN=2463, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28269","92.899349","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-24 dBm","Beacon frame, SN=2467, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28303","93.002042","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-24 dBm","Beacon frame, SN=2471, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
